fhfa_cbsa,period,hpi_all_transactions_nsa
10740,2012Q4,151.21
10740,2013Q1,151.65
10740,2013Q2,152.14
10740,2013Q3,152.03
10740,2013Q4,151.58
10740,2014Q1,152.32
10740,2014Q2,153.9
10740,2014Q3,155.37
10740,2014Q4,155.55
10740,2015Q1,156.23
10740,2015Q2,157.22
10740,2015Q3,157.89
10740,2015Q4,157.54
10740,2016Q1,158.75
10740,2016Q2,161.5
10740,2016Q3,163.16
10740,2016Q4,165.86
10740,2017Q1,164.55
10740,2017Q2,166.77
10740,2017Q3,170.05
10740,2017Q4,170.28
10740,2018Q1,171.56
10740,2018Q2,174.06
10740,2018Q3,175.05
10740,2018Q4,175.42
10740,2019Q1,177.27
10740,2019Q2,181.86
10740,2019Q3,184.37
10740,2019Q4,185.66
10740,2020Q1,188.47
10740,2020Q2,191.04
10740,2020Q3,195.3
10740,2020Q4,199.77
10740,2021Q1,206.23
10740,2021Q2,216.04
10740,2021Q3,228.7
10740,2021Q4,237.07
10740,2022Q1,245.39
10740,2022Q2,260.76
10740,2022Q3,266.08
10740,2022Q4,269.01
10740,2023Q1,270.78
10740,2023Q2,277.65
10740,2023Q3,282.7
10740,2023Q4,283.4
10740,2024Q1,284.38
10740,2024Q2,292.68
10740,2024Q3,295.53
10740,2024Q4,296.87
10740,2025Q1,300.38
10740,2025Q2,305.75
10740,2025Q3,302.53
10740,2025Q4,305.6
10740,2026Q1,306.73
10780,1986Q2,89.55
10780,1986Q3,87.73
10780,1986Q4,90.49
10780,1987Q1,93.15
10780,1987Q2,87.75
