zillow_region_id,fhfa_cbsa,period,zori_usd_month
394318,10900,2017-05,1125.234000992585
394318,10900,2017-06,1124.3625435795166
394318,10900,2017-07,1131.2651262891775
394318,10900,2017-08,1129.8487178567461
394318,10900,2017-09,1134.592132065348
394318,10900,2017-10,1134.7883932789837
394318,10900,2017-11,1139.2676934613924
394318,10900,2017-12,1139.624253561001
394318,10900,2018-01,1141.5637034987324
394318,10900,2018-02,1144.7483816149377
394318,10900,2018-03,1156.0155357900205
394318,10900,2018-04,1165.033429524006
394318,10900,2018-05,1171.335743403746
394318,10900,2018-06,1169.253507678328
394318,10900,2018-07,1176.1156781250838
394318,10900,2018-08,1177.8644555318679
394318,10900,2018-09,1183.3384611610936
394318,10900,2018-10,1177.712318515924
394318,10900,2018-11,1177.109418282741
394318,10900,2018-12,1173.0064084608316
394318,10900,2019-01,1174.1451063014556
394318,10900,2019-02,1179.7441241112626
394318,10900,2019-03,1190.6957703991163
394318,10900,2019-04,1203.8082163789757
394318,10900,2019-05,1211.7914803326873
394318,10900,2019-06,1215.7837997006475
394318,10900,2019-07,1221.2994438482667
394318,10900,2019-08,1223.8665357259795
394318,10900,2019-09,1229.5194109126599
394318,10900,2019-10,1226.3988185515273
394318,10900,2019-11,1230.5834849462685
394318,10900,2019-12,1229.4724837508506
394318,10900,2020-01,1238.4490771970172
394318,10900,2020-02,1240.95779139268
394318,10900,2020-03,1246.3159699834662
394318,10900,2020-04,1247.988076743074
394318,10900,2020-05,1253.3547423613759
394318,10900,2020-06,1258.598705778853
394318,10900,2020-07,1270.218011467869
394318,10900,2020-08,1283.5210418864283
394318,10900,2020-09,1300.9870003052347
394318,10900,2020-10,1315.8549168341733
394318,10900,2020-11,1327.8597444437721
394318,10900,2020-12,1336.2641117125913
394318,10900,2021-01,1337.4034412047056
394318,10900,2021-02,1344.3854954247101
394318,10900,2021-03,1359.4093324401358
394318,10900,2021-04,1381.7464189098482
394318,10900,2021-05,1409.109113078699
394318,10900,2021-06,1435.5780308053065
394318,10900,2021-07,1466.704899141504
394318,10900,2021-08,1482.6655312579642
394318,10900,2021-09,1495.9550577442058
394318,10900,2021-10,1502.3556772953293
394318,10900,2021-11,1517.4975977071113
394318,10900,2021-12,1534.8775092431345
394318,10900,2022-01,1550.2883617649516
394318,10900,2022-02,1562.2256552539445
394318,10900,2022-03,1567.9606042607966
394318,10900,2022-04,1583.114544414282
394318,10900,2022-05,1597.8942818123674
394318,10900,2022-06,1614.382001459271
394318,10900,2022-07,1619.0839019461896
394318,10900,2022-08,1622.2652238963983
394318,10900,2022-09,1618.880878256905
394318,10900,2022-10,1611.1932746837108
394318,10900,2022-11,1606.349167246435
394318,10900,2022-12,1609.2961996188023
394318,10900,2023-01,1622.5863694302896
394318,10900,2023-02,1638.4085557343074
394318,10900,2023-03,1649.7328012365247
394318,10900,2023-04,1654.1156326509736
